TYPE,BANK,DEBITS_TRANSACTIONS,DEBIT_AMOUNT,CREDIT_TRANSACTIONS,CREDIT_AMOUNT,DATE
COOPERATIVE,ABHYUDAYA CO-OP BANK LTD,37408,2149.64,97422,3470.74,May-16
COOPERATIVE,ABHYUDAYA CO-OP BANK LTD,37810,2418.89,101211,3619.33,Jun-16
COOPERATIVE,ABHYUDAYA CO-OP BANK LTD,38030,2309.36,104050,3618.13,Jul-16
COOPERATIVE,ABHYUDAYA CO-OP BANK LTD,40801,2313.26,110826,3789.99,Aug-16
COOPERATIVE,ABHYUDAYA CO-OP BANK LTD,39431,2233.91,107036,3650.23,Sep-16
COOPERATIVE,ABHYUDAYA CO-OP BANK LTD,43757,2505.32,134274,4859.04,Oct-16
COOPERATIVE,ABHYUDAYA CO-OP BANK LTD,54567,2730.17,122321,4179.03,Nov-16
COOPERATIVE,ABHYUDAYA CO-OP BANK LTD,81604,3668.56,158899,5188.99,Dec-16
COOPERATIVE,ABHYUDAYA CO-OP BANK LTD,76562,3414.19,160050,5132.50,Jan-17
COOPERATIVE,ABHYUDAYA CO-OP BANK LTD,65689,2846.49,148400,4331.52,Feb-17
COOPERATIVE,ABHYUDAYA CO-OP BANK LTD,75147,4035.14,173150,6179.84,Mar-17
COOPERATIVE,ABHYUDAYA CO-OP BANK LTD,66339,3203.88,152773,4992.20,Apr-17
FOREIGN,ABU DHABI COMMERCIAL BANK,2139,935.84,571,317.18,May-16
FOREIGN,ABU DHABI COMMERCIAL BANK,2290,2417.08,697,756.89,Jun-16
FOREIGN,ABU DHABI COMMERCIAL BANK,2011,901.53,541,172.16,Jul-16
FOREIGN,ABU DHABI COMMERCIAL BANK,2815,1611.19,610,804.20,Aug-16
FOREIGN,ABU DHABI COMMERCIAL BANK,2725,1339.72,632,511.27,Sep-16
FOREIGN,ABU DHABI COMMERCIAL BANK,2486,888.23,636,537.30,Oct-16
FOREIGN,ABU DHABI COMMERCIAL BANK,2787,2034.91,680,363.77,Nov-16
FOREIGN,ABU DHABI COMMERCIAL BANK,2758,1132.81,735,780.41,Dec-16
FOREIGN,ABU DHABI COMMERCIAL BANK,2500,2130.89,678,410.83,Jan-17
FOREIGN,ABU DHABI COMMERCIAL BANK,2114,1156.65,627,213.9,Feb-17
FOREIGN,ABU DHABI COMMERCIAL BANK,2725,1069.43,996,4046.57,Mar-17
FOREIGN,ABU DHABI COMMERCIAL BANK,2222,1351.62,625,697.65,Apr-17
COOPERATIVE,AHMEDABAD MERCANTILE COOP BANK,5256,454.20,14251,974.37,May-16
COOPERATIVE,AHMEDABAD MERCANTILE COOP BANK,5845,460.33,14393,954.43,Jun-16
COOPERATIVE,AHMEDABAD MERCANTILE COOP BANK,5594,487.69,14776,972.33,Jul-16
COOPERATIVE,AHMEDABAD MERCANTILE COOP BANK,5419,454.72,15864,1058.53,Aug-16
